date,INDPRO,CPIAUCSL,UNRATE,PAYEMS,AWHMAN,GDPC1,FPIx
1959-01,21.9998,29.01,6,52478,40.2,,
1959-02,22.4306,29,5.9,52688,40.3,,
1959-03,22.7538,28.97,5.6,53014,40.4,3352.129,357.0174
1959-04,23.2384,28.98,5.2,53321,40.5,,
1959-05,23.5885,29.04,5.1,53550,40.7,,
1959-06,23.6155,29.11,5,53681,40.6,3427.667,368.064
1959-07,23.05,29.15,5.1,53804,40.3,,
1959-08,22.2691,29.18,5.2,53336,40.4,,
1959-09,22.2421,29.25,5.5,53428,40.4,3430.057,371.9585
1959-10,22.0806,29.35,5.7,53358,40.1,,
1959-11,22.2152,29.35,5.8,53634,39.9,,
1959-12,23.5885,29.41,5.3,54174,40.3,3439.832,367.6452
1960-01,24.2078,29.37,5.2,54274,40.6,,
1960-02,23.9924,29.41,4.8,54513,40.3,,
1960-03,23.777,29.41,5.4,54454,40,3517.181,379.9162
1960-04,23.5885,29.54,5.2,54813,40,,
1960-05,23.5616,29.57,5.1,54475,40.1,,
1960-06,23.2654,29.61,5.4,54348,39.9,3498.246,373.0131
1960-07,23.1846,29.55,5.5,54306,39.9,,
1960-08,23.1577,29.61,5.6,54272,39.7,,
1960-09,22.9153,29.61,5.5,54227,39.4,3515.385,365.0222
1960-10,22.8884,29.75,6.1,54142,39.7,,
1960-11,22.5653,29.78,6.1,53961,39.3,,
1960-12,22.1344,29.81,6.6,53742,38.4,3470.278,364.3026
1961-01,22.1613,29.84,6.6,53683,39.3,,
1961-02,22.1344,29.84,6.9,53557,39.4,,
1961-03,22.2691,29.84,6.9,53659,39.5,3493.703,361.2123
1961-04,22.7268,29.81,7,53627,39.5,,
1961-05,23.0769,29.84,7.1,53786,39.7,,
1961-06,23.4,29.84,6.9,53977,40,3553.021,367.138
1961-07,23.6693,29.92,7,54123,40,,
1961-08,23.8847,29.94,6.6,54298,40.1,,
1961-09,23.8578,29.98,6.7,54388,39.5,3621.252,375.9302
1961-10,24.3156,29.98,6.5,54522,40.3,,
1961-11,24.6926,29.98,6.1,54742,40.7,,
1961-12,24.908,30.01,6,54872,40.4,3692.289,387.8257
1962-01,24.6925,30.04,5.8,54891,40,,
1962-02,25.0964,30.11,5.5,55188,40.4,,
1962-03,25.2311,30.17,5.6,55275,40.6,3758.147,395.2481
1962-04,25.285,30.21,5.6,55602,40.6,,
1962-05,25.258,30.24,5.5,55628,40.6,,
1962-06,25.2042,30.21,5.5,55644,40.5,3792.149,406.4579
1962-07,25.4465,30.22,5.4,55746,40.5,,
1962-08,25.4734,30.28,5.7,55838,40.5,,
1962-09,25.635,30.42,5.6,55978,40.5,3838.776,409.7296
1962-10,25.6619,30.38,5.4,56041,40.3,,
1962-11,25.7696,30.38,5.7,56056,40.5,,
1962-12,25.7696,30.38,5.5,56028,40.3,3851.421,408.4905
1963-01,25.9581,30.44,5.7,56115,40.5,,
1963-02,26.2544,30.48,5.9,56230,40.5,,
1963-03,26.4159,30.51,5.7,56320,40.5,3893.482,413.8437
1963-04,26.6582,30.48,5.7,56580,40.5,,
1963-05,26.9814,30.51,5.9,56616,40.5,,
1963-06,27.0622,30.61,5.6,56659,40.7,3937.183,432.2826
1963-07,26.9545,30.69,5.6,56794,40.6,,
1963-08,27.0083,30.75,5.4,56910,40.6,,
1963-09,27.2776,30.72,5.5,57078,40.6,4023.755,442.9435
1963-10,27.4661,30.75,5.5,57283,40.7,,
1963-11,27.6007,30.78,5.7,57255,40.7,,
1963-12,27.5469,30.88,5.5,57361,40.6,4050.147,456.1799
1964-01,27.7892,30.94,5.6,57487,40.1,,
1964-02,27.9777,30.91,5.4,57753,40.7,,
1964-03,27.9777,30.94,5.4,57897,40.6,4135.553,471.9559
1964-04,28.4355,30.95,5.3,57922,40.7,,
1964-05,28.597,30.98,5.1,58089,40.8,,
1964-06,28.6778,31.01,5.2,58219,40.8,4180.592,471.0517
1964-07,28.8663,31.02,4.9,58412,40.8,,
