Date,GDPC1,PCECTPI,FEDFUNDS,UNRATE,NFCI
1971-01-01,10.71966607,3.781551168,3.8567,5.9333,0.80884
1971-04-01,2.157438105,4.526242912,4.5667,5.9,1.285621538
1971-07-01,3.276332647,3.916467719,5.4767,6.0333,1.606050769
1971-10-01,0.938357061,2.462019698,4.75,5.9333,1.521444286
1972-01-01,7.282172009,4.19650964,3.5467,5.7667,0.7272
1972-04-01,8.975688804,2.308317271,4.3,5.7,0.120453846
1972-07-01,3.758643829,3.493800094,4.7433,5.5667,0.152709231
1972-10-01,6.642286891,3.240995612,5.1467,5.3667,-0.220511538
1973-01-01,9.779244714,4.812781352,6.5367,4.9333,0.670776923
1973-04-01,4.331437172,7.60717356,7.8167,4.9333,1.184088462
1973-07-01,-2.108902897,7.217999772,10.56,4.8,2.01719
1973-10-01,3.779015812,8.095212584,9.9967,4.7667,2.114408462
1974-01-01,-3.453688192,11.7344477,9.3233,5.1333,0.824223846
1974-04-01,0.949659833,11.17122533,11.25,5.2,2.947073846
1974-07-01,-3.799093949,10.64493108,12.09,5.6333,4.757408462
1974-10-01,-1.556648105,10.04315767,9.3467,6.6,2.991490769
1975-01-01,-4.90043292,7.45788225,6.3033,8.2667,1.454545385
1975-04-01,2.848637218,4.875708625,5.42,8.8667,0.106866154
1975-07-01,6.790217143,7.425568295,6.16,8.4667,-0.091573846
1975-10-01,5.352401074,6.651437003,5.4133,8.3,0.055017692
1976-01-01,8.898160921,4.378419166,4.8267,7.7333,-0.580012308
1976-04-01,2.922791705,3.334604904,5.1967,7.5667,-0.574594615
1976-07-01,2.183659019,6.025786715,5.2833,7.7333,-0.648560769
1976-10-01,2.880021203,6.26819248,4.8733,7.7667,-0.697134286
1977-01-01,4.717010209,7.16371639,4.66,7.5,-0.896025
1977-04-01,7.693235161,6.784158313,5.1567,7.1333,-0.608785385
1977-07-01,7.148403098,5.974709104,5.82,6.9,-0.475216429
1977-10-01,0.007971039,5.640516496,6.5133,6.6667,-0.256354615
1978-01-01,1.277326931,6.507135947,6.7567,6.3333,-0.193748462
1978-04-01,15.16784177,8.131593163,7.2833,6,0.435023077
1978-07-01,4.002899039,6.963593146,8.1,6.0333,0.593419231
1978-10-01,5.340688777,7.483904783,9.5833,5.9,1.717874615
1979-01-01,0.717730948,7.464797205,10.0733,5.8667,0.797679231
1979-04-01,0.426753424,10.78685573,10.18,5.7,0.453529231
1979-07-01,2.960237918,9.80736861,10.9467,5.8667,1.497366923
1979-10-01,0.998932307,9.561677359,13.5767,5.9667,2.298843846
1980-01-01,1.256309656,11.82852825,15.0467,6.3,2.432995385
1980-04-01,-8.327831933,9.673010144,12.6867,7.3333,3.064090769
1980-07-01,-0.475701752,9.25158165,9.8367,7.6667,0.953413077
1980-10-01,7.390987394,9.776903871,15.8533,7.4,2.3954
1981-01-01,7.761890672,10.24015199,16.57,7.4333,2.377183846
1981-04-01,-2.97534126,6.652282433,17.78,7.4,2.411413077
1981-07-01,4.761555003,6.543457645,17.5767,7.4,3.319461538
1981-10-01,-4.382305248,6.079073837,13.5867,8.2333,2.523401538
1982-01-01,-6.263360731,5.05235191,14.2267,8.8333,1.982843077
1982-04-01,1.820559177,3.828906483,14.5133,9.4333,2.454708462
1982-07-01,-1.531997371,6.26569987,11.0067,9.9,3.187161538
1982-10-01,0.160003146,4.392353184,9.2867,10.6667,1.649205
1983-01-01,5.23673235,3.293350045,8.6533,10.3667,0.15913
1983-04-01,9.000065818,3.637333455,8.8033,10.1333,-0.130601538
1983-07-01,7.916951323,5.224578055,9.46,9.3667,-0.102876429
1983-10-01,8.25887931,2.629189119,9.43,8.5333,0.042701538
1984-01-01,7.74371884,4.304913961,9.6867,7.8667,-0.117049231
1984-04-01,6.85202204,3.853425971,10.5567,7.4333,0.703651538
1984-07-01,3.837572472,3.077604679,11.39,7.4333,0.747443846
1984-10-01,3.269691688,2.45821816,9.2667,7.3,-0.027503846
1985-01-01,3.857258926,4.693993568,8.4767,7.2333,-0.344140769
1985-04-01,3.50648003,3.224494539,7.9233,7.3,-0.403085385
1985-07-01,6.06290415,3.127197277,7.9,7.2,-0.242498462
1985-10-01,2.962796731,2.779521207,8.1033,7.0333,-0.292003846
1986-01-01,3.717660621,2.82303231,7.8267,7.0333,-0.295111538
1986-04-01,1.797142218,-0.423363426,6.92,7.1667,-0.450680769
1986-07-01,3.808483781,2.112350395,6.2067,6.9667,-0.545675385
1986-10-01,2.139837667,2.411614135,6.2667,6.8333,-0.549240769
1987-01-01,2.956427197,3.767131304,6.22,6.6,-0.432356154
1987-04-01,4.289627008,3.846146718,6.65,6.2667,0.399076154
1987-07-01,3.453758533,3.771826558,6.8433,6,0.158224615
1987-10-01,6.809534933,3.437749857,6.9167,5.8333,0.97873
1988-01-01,2.062205152,3.149007079,6.6633,5.7,0.303527692
1988-04-01,5.22189507,4.395243426,7.1567,5.4667,0.238415385
1988-07-01,2.337038082,4.898466684,7.9833,5.4667,0.363273571
1988-10-01,5.29462775,4.022380264,8.47,5.3333,0.166983846
1989-01-01,4.04505757,4.571315319,9.4433,5.2,0.377911538
1989-04-01,3.04081112,5.35313501,9.7267,5.2333,0.454353846
1989-07-01,2.952022607,2.350957699,9.0833,5.2333,0.258602308
1989-10-01,0.787149208,3.131673801,8.6133,5.3667,0.171484615
1990-01-01,4.347812985,5.755593573,8.25,5.3,0.052770769
1990-04-01,1.449251535,3.616318269,8.2433,5.3333,0.001441538
1990-07-01,0.266238094,5.051147343,8.16,5.7,0.08534
1990-10-01,-3.658296259,5.257621015,7.7433,6.1333,0.462743077
1991-01-01,-1.876155659,2.096921679,6.4267,6.6,0.180513846
1991-04-01,3.106660758,2.177000273,5.8633,6.8333,-0.236922308
1991-07-01,2.016344141,2.707921914,5.6433,6.8667,-0.475584615
1991-10-01,1.391755339,2.894880678,4.8167,7.1,-0.61223
1992-01-01,4.760567369,2.498430634,4.0233,7.3667,-0.66434
1992-04-01,4.313867437,2.647481631,3.77,7.6,-0.818397692
1992-07-01,3.933041199,2.542054019,3.2567,7.6333,-0.903406154
1992-10-01,4.149821489,2.78209684,3.0367,7.3667,-0.750556154
1993-01-01,0.667218105,2.378217122,3.04,7.1333,-0.955053077
1993-04-01,2.321931509,2.678740244,3,7.0667,-0.993968462
1993-07-01,1.90408019,1.728847795,3.06,6.8,-1.078236154
1993-10-01,5.403929208,2.30170661,2.99,6.6333,-0.977419286
1994-01-01,3.862740813,1.431869736,3.2133,6.5667,-0.941471667
1994-04-01,5.38432863,2.225951354,3.94,6.2,-0.730173077
1994-07-01,2.33152996,2.856724512,4.4867,6,-0.763649286
1994-10-01,4.556232747,1.875279596,5.1667,5.6333,-0.529168462
1995-01-01,1.416610584,1.949812681,5.81,5.4667,-0.568335385
1995-04-01,1.191514986,2.324932779,6.02,5.6667,-0.686469231
1995-07-01,3.388508904,1.628873402,5.7967,5.6667,-0.69814
1995-10-01,2.707146699,1.75715964,5.72,5.5667,-0.735242308
1996-01-01,2.985034692,2.216266534,5.3633,5.5333,-0.784681538
1996-04-01,6.616746724,2.667742098,5.2433,5.5,-0.704261538
1996-07-01,3.572137173,1.69944908,5.3067,5.2667,-0.728929231
